date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:35	13800/13800	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-35e8%22	https://srivastava-abhishek.in/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/aos/aos.js	(from https://srivastava-abhishek.in/)
10:41:36	80668/80668	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-13b1c%22	https://srivastava-abhishek.in/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://srivastava-abhishek.in/)
10:41:36	55880/55880	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-da48%22	https://srivastava-abhishek.in/assets/vendor/glightbox/js/glightbox.min.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/glightbox/js/glightbox.min.js	(from https://srivastava-abhishek.in/)
10:41:37	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-8a75%22	https://srivastava-abhishek.in/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://srivastava-abhishek.in/)
10:41:37	143706/143706	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-2315a%22	https://srivastava-abhishek.in/assets/vendor/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/swiper/swiper-bundle.min.js	(from https://srivastava-abhishek.in/)
10:41:38	9843/9843	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-2673%22	https://srivastava-abhishek.in/assets/vendor/typed.js/typed.umd.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/typed.js/typed.umd.js	(from https://srivastava-abhishek.in/)
10:41:38	21112/21112	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-5278%22	https://srivastava-abhishek.in/assets/vendor/waypoints/noframework.waypoints.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/waypoints/noframework.waypoints.js	(from https://srivastava-abhishek.in/)
10:41:39	2649/2649	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-a59%22	https://srivastava-abhishek.in/assets/vendor/php-email-form/validate.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/php-email-form/validate.js	(from https://srivastava-abhishek.in/)
10:41:40	5943/5943	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fccbf1-1737%22	https://srivastava-abhishek.in/assets/js/main.js	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/js/main.js	(from https://srivastava-abhishek.in/)
10:41:42	164360/164360	---M--	200	added ('OK')	font/woff	etag:%2264fccbf1-28208%22	https://srivastava-abhishek.in/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?1fa40e8900654d2863d011707b9fb6f2	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/bootstrap-icons/fonts/bootstrap-iconse52a.woff	(from https://srivastava-abhishek.in/assets/vendor/bootstrap-icons/bootstrap-icons.css)
10:41:43	405670/405670	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264fccbf1-630a6%22	https://srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxicons.eot	(from https://srivastava-abhishek.in/assets/vendor/boxicons/css/boxicons.min.css)
10:41:44	321020/321020	---M--	200	added ('OK')	font/woff	etag:%2264fccbf1-4e5fc%22	https://srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxicons.woff	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxicons.woff	(from https://srivastava-abhishek.in/assets/vendor/boxicons/css/boxicons.min.css)
10:41:44	115680/115680	---M--	200	added ('OK')	font/woff2	etag:%2264fccbf1-1c3e0%22	https://srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxicons.woff2	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://srivastava-abhishek.in/assets/vendor/boxicons/css/boxicons.min.css)
10:41:45	320944/320944	---M-Z	200	added ('OK')	font/ttf	etag:W/%2264fccbf1-4e5b0%22	https://srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxicons.ttf	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://srivastava-abhishek.in/assets/vendor/boxicons/css/boxicons.min.css)
10:41:46	121340/121340	---M--	200	added ('OK')	font/woff2	etag:%2264fccbf1-1d9fc%22	https://srivastava-abhishek.in/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?1fa40e8900654d2863d011707b9fb6f2	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/bootstrap-icons/fonts/bootstrap-iconse52a.woff2	(from https://srivastava-abhishek.in/assets/vendor/bootstrap-icons/bootstrap-icons.css)
10:41:46	1242122/1242122	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2264fccbf1-12f40a%22	https://srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxicons.svg?	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://srivastava-abhishek.in/assets/vendor/boxicons/css/boxicons.min.css)
10:41:46	1373522/1373522	---M--	200	added ('OK')	image/jpeg	etag:%2264fccbf1-14f552%22	https://srivastava-abhishek.in/assets/img/hero-bg.jpg	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/hero-bg.jpg	(from https://srivastava-abhishek.in/assets/css/style.css)
10:41:46	353048/353048	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-56318%22	https://srivastava-abhishek.in/assets/img/portfolio/c2.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/c2.png	(from https://srivastava-abhishek.in/Calci.html)
10:41:46	367753/367753	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-59c89%22	https://srivastava-abhishek.in/assets/img/portfolio/c3.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/c3.png	(from https://srivastava-abhishek.in/Calci.html)
10:41:47	373834/373834	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-5b44a%22	https://srivastava-abhishek.in/assets/img/portfolio/i1.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/i1.png	(from https://srivastava-abhishek.in/innovanza.html)
10:41:47	266360/266360	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-41078%22	https://srivastava-abhishek.in/assets/img/portfolio/i2.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/i2.png	(from https://srivastava-abhishek.in/innovanza.html)
10:41:47	182956/182956	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-2caac%22	https://srivastava-abhishek.in/assets/img/portfolio/i3.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/i3.png	(from https://srivastava-abhishek.in/innovanza.html)
10:41:48	34095/34095	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-852f%22	https://srivastava-abhishek.in/assets/img/portfolio/certi1.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/certi1.png	(from https://srivastava-abhishek.in/certi.html)
10:41:48	34933/34933	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-8875%22	https://srivastava-abhishek.in/assets/img/portfolio/certi2.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/certi2.png	(from https://srivastava-abhishek.in/certi.html)
10:41:49	37979/37979	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-945b%22	https://srivastava-abhishek.in/assets/img/portfolio/certi3.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/certi3.png	(from https://srivastava-abhishek.in/certi.html)
10:41:49	33938/33938	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-8492%22	https://srivastava-abhishek.in/assets/img/portfolio/certi4.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/certi4.png	(from https://srivastava-abhishek.in/certi.html)
10:41:50	303730/303730	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-4a272%22	https://srivastava-abhishek.in/assets/img/portfolio/dot1.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/dot1.png	(from https://srivastava-abhishek.in/dots.html)
10:41:50	303940/303940	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-4a344%22	https://srivastava-abhishek.in/assets/img/portfolio/dot2.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/dot2.png	(from https://srivastava-abhishek.in/dots.html)
10:41:51	360334/360334	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-57f8e%22	https://srivastava-abhishek.in/assets/img/portfolio/dot3.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/dot3.png	(from https://srivastava-abhishek.in/dots.html)
10:41:53	267551/267551	---M--	200	added ('OK')	image/png	etag:%2264fccbf1-4151f%22	https://srivastava-abhishek.in/assets/img/portfolio/dot4.png	C:/My%20Web%20Sites/portfolio/srivastava-abhishek.in/assets/img/portfolio/dot4.png	(from https://srivastava-abhishek.in/dots.html)
